config,sample_id,question,vision_encoder_ms,projection_ms,decoder_ms,total_ms,peak_vram_mb,tokens_generated,response_text,expected,exact_match
qwen7b_nf4,0,Describe this image in detail (variation 0),636.23,-0.35,5106.83,5742.71,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
qwen7b_nf4,1,Describe this image in detail (variation 1),638.63,-0.2,5752.58,6391.01,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, facing a large, light-colored dog that",N/A,0
qwen7b_nf4,2,Describe this image in detail (variation 2),636.16,-0.23,5235.8,5871.73,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, facing a large, light-colored dog that",N/A,0
qwen7b_nf4,3,Describe this image in detail (variation 3),646.32,-0.22,5865.85,6511.95,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, facing a large, light-colored dog that",N/A,0
qwen7b_nf4,4,Describe this image in detail (variation 4),648.02,-0.21,5294.43,5942.24,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, facing a large, light-colored dog that",N/A,0
qwen7b_nf4,5,Describe this image in detail (variation 5),657.3,-0.23,5817.06,6474.13,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
qwen7b_nf4,6,Describe this image in detail (variation 6),660.35,-0.24,5255.45,5915.55,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
qwen7b_nf4,7,Describe this image in detail (variation 7),648.47,-0.24,11317.7,11965.93,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person sitting on it. The sky is clear with a soft gradient of colors transitioning from light blue",N/A,0
qwen7b_nf4,8,Describe this image in detail (variation 8),661.03,-0.22,5880.47,6541.28,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the ocean in the background. A woman is sitting on the sandy beach, dressed in a plaid",N/A,0
qwen7b_nf4,9,Describe this image in detail (variation 9),648.06,-0.21,5378.09,6025.94,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
qwen7b_nf4,10,Describe this image in detail (variation 0),657.11,-0.19,5747.68,6404.6,7940.3,50,"The image shows a fluffy white dog sitting on a grassy area. The dog has a thick, long coat that appears soft and well-groomed. Its ears are upright and pointed, and it has a friendly expression with its mouth slightly open,",N/A,0
qwen7b_nf4,11,Describe this image in detail (variation 1),652.88,-0.2,5376.91,6029.6,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are pointed and stand upright, giving it an alert expression. The dog's mouth is",N/A,0
qwen7b_nf4,12,Describe this image in detail (variation 2),652.44,-0.21,5648.38,6300.61,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
