config,sample_id,question,vision_encoder_ms,projection_ms,decoder_ms,total_ms,peak_vram_mb,tokens_generated,response_text,expected,exact_match
vision_fp16_decoder_4bit,0,Describe this image in detail (variation 0),636.0,-0.25,5188.49,5824.24,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
vision_fp16_decoder_4bit,1,Describe this image in detail (variation 1),643.03,-0.19,5629.65,6272.48,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, facing a large, light-colored dog that",N/A,0
vision_fp16_decoder_4bit,2,Describe this image in detail (variation 2),642.63,-0.2,5247.0,5889.43,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
vision_fp16_decoder_4bit,3,Describe this image in detail (variation 3),646.64,-0.19,5597.95,6244.41,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, facing a large, light-colored dog that",N/A,0
vision_fp16_decoder_4bit,4,Describe this image in detail (variation 4),641.79,-0.22,5209.78,5851.35,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the ocean in the background. A woman is sitting on the sandy beach, dressed in a plaid",N/A,0
vision_fp16_decoder_4bit,5,Describe this image in detail (variation 5),653.3,-0.23,5628.87,6281.94,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
vision_fp16_decoder_4bit,6,Describe this image in detail (variation 6),654.97,-0.27,5288.42,5943.13,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, wearing a plaid shirt and dark pants",N/A,0
vision_fp16_decoder_4bit,7,Describe this image in detail (variation 7),661.79,-0.25,5628.27,6289.81,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person sitting on it. The sky is clear with a soft gradient of colors transitioning from light blue",N/A,0
vision_fp16_decoder_4bit,8,Describe this image in detail (variation 8),663.65,-0.26,5303.93,5967.33,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person sitting on it. The sky is clear with a soft gradient of colors transitioning from light blue",N/A,0
vision_fp16_decoder_4bit,9,Describe this image in detail (variation 9),656.52,-0.21,5598.46,6254.76,7945.7,50,"The image depicts a serene beach scene during what appears to be either sunrise or sunset, as indicated by the warm, golden light illuminating the sand and the person. A woman is sitting on the sandy beach, facing a large, light-colored dog that",N/A,0
